number_pino,site,below_50,above_50,available_soil_pct,sp,h_cm,number_puestas,altitud_m
121,LP,1833.64,180.89,91.02,n,120,0,1811
122,LP,1860.41,153.37,92.38,s,180,3,1811
123,LP,1861.41,151.36,92.48,n,140,0,1811
124,LP,1847.15,163.12,91.89,s,225,0,1811
125,LP,1876.92,138.1,93.15,s,240,9,1810
126,LP,1900.69,105.33,94.75,s,60,0,1811
127,LP,1821.63,194.4,90.36,s,185,0,1816
128,LP,1873.92,132.1,93.41,n,200,15,1817
129,LP,1805.87,206.16,89.75,n,230,3,1816
130,LP,1814.88,191.9,90.44,n,250,1,1816
131,LP,1871.92,134.35,93.3,n,180,1,1814
132,LP,1874.92,138.86,93.1,s,180,0,1816
133,LP,1961.74,53.54,97.34,n,180,7,1822
134,LP,1953.23,61.55,96.95,n,140,0,1820
135,LP,1938.72,75.06,96.27,n,170,0,1820
136,LP,1838.39,175.88,91.27,n,180,1,1821
137,LP,1850.4,162.37,91.93,n,200,3,1821
138,LP,1861.41,155.62,92.28,n,180,0,1821
139,LP,1252.2,762.83,62.14,n,180,3,1825
140,LP,1280.72,733.56,63.58,n,170,1,1826
141,LP,1355.28,659.25,67.28,n,250,10,1826
142,LP,1423.83,589.45,70.72,n,200,6,1824
143,LP,1340.02,673.01,66.57,n,225,3,1824
144,LP,1679.27,333.25,83.44,n,150,1,1822
145,LP,1373.54,638.23,68.28,s,1400,20,1820
146,LP,1560.18,451.84,77.54,s,1200,8,1818
147,LP,1597.21,415.31,79.36,n,180,3,1820
148,LP,1704.54,305.98,84.78,n,120,1,1821
149,LP,1749.83,262.95,86.94,n,160,1,1819
150,LP,1746.57,267.45,86.72,s,250,0,1820
151,LP,1740.57,273.21,86.43,s,190,0,1818
152,LP,1700.04,313.74,84.42,n,225,1,1817
153,LP,1719.55,294.47,85.38,n,100,0,1814
154,LP,1720.3,290.22,85.56,s,200,1,1816
155,LP,1732.06,282.71,85.97,n,130,0,1817
156,LP,1768.34,243.43,87.9,n,75,0,1817
157,LP,1777.85,236.43,88.26,n,110,0,1817
158,LP,1756.58,247.94,87.63,n,90,0,1818
159,LP,1770.09,245.44,87.82,s,60,0,1817
160,LP,1761.84,250.94,87.53,s,85,0,1818
161,LP,1795.61,217.92,89.18,n,100,0,1818
162,LP,1686.53,320.99,84.01,s,190,0,1814
163,LP,1658.51,352.02,82.49,n,170,1,1816
164,LP,1625.73,381.04,81.01,s,190,1,1816
165,LP,1615.97,387.29,80.67,n,90,0,1817
166,LP,1615.97,387.29,80.67,n,170,5,1815
167,LP,1657.01,349.77,82.57,S,130,3,1817
168,LP,1666.01,345.51,82.82,n,125,16,1817
169,LP,1540.42,473.36,76.49,s,160,1,1817
170,LP,1515.4,499.13,75.22,s,225,5,1817
171,LP,1523.9,488.12,75.74,s,190,1,1817
172,LP,1565.94,449.84,77.68,s,60,1,1817
173,LP,1515.4,499.13,75.22,s,250,0,1817
174,LP,1530.16,483.87,75.98,s,200,0,1817
175,LP,1662.51,350.27,82.6,s,400,8,1817
