sitio,number_pino,sp,h_cm,number_puestas,altitud_m,distances,focal_pine
VC,60,h,250,0,899,4.24264068711928,61
VC,62,h,250,0,900,5.09901951359278,61
VC,75,h,400,1,902,5.09901951359278,61
VC,78,h,225,0,902,6.32455532033676,61
VC,58,h,250,0,901,7.28010988928052,61
VC,59,h,250,0,899,8.06225774829855,61
VC,51,h,250,0,899,8.94427190999916,61
VC,76,h,180,0,900,8.94427190999916,61
VC,77,h,200,1,900,10,61
VC,62,h,250,0,900,0,62
VC,61,h,325,0,902,5.09901951359278,62
VC,57,h,190,0,901,6.70820393249937,62
VC,58,h,250,0,901,6.70820393249937,62
VC,51,h,250,0,899,7.07106781186548,62
VC,75,h,400,1,902,7.21110255092798,62
VC,78,h,225,0,902,7.61577310586391,62
VC,60,h,250,0,899,8.24621125123532,62
VC,59,h,250,0,899,10.816653826392,62
VC,48,h,275,0,898,13.8924439894498,62
VC,63,h,250,0,902,0,63
VC,52,h,300,1,899,11.7046999107196,63
VC,87,h,250,0,901,13.9283882771841,63
VC,46,h,300,1,898,16.1245154965971,63
VC,86,h,225,0,899,16.6433169770932,63
VC,91,h,300,1,903,18.2482875908947,63
VC,92,h,150,0,901,18.3847763108502,63
VC,101,h,250,2,899,20.0997512422418,63
VC,100,h,275,0,900,20.3960780543711,63
VC,47,h,170,0,900,20.8086520466848,63
VC,64,h,400,0,900,0,64
VC,65,h,300,0,901,9.21954445729289,64
